Id,District Name,Neighborhood Name,Street,Weekday,Month,Day,Hour,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved,Longitude,Latitude
20170010429,Eixample,la Dreta de l'Eixample,Diputació                                         ,Sunday,December,17,17,Afternoon,1,0,1,2,2.167944,41.39094
20170010430,Ciutat Vella,el Barri Gòtic,Laietana / Emili Vilanova                         ,Sunday,December,17,20,Afternoon,1,0,1,2,2.1793,41.383531
20170010431,Eixample,la Sagrada Família,Lepant                                            ,Sunday,December,17,4,Night,0,0,0,2,2.173681,41.40657
20170010432,Sarrià-Sant Gervasi,Sarrià,Vallvidrera                                       ,Sunday,December,17,18,Afternoon,0,0,0,1,2.115965,41.405149
20170010433,Nou Barris,Porta,Deià / Estudiant                                  ,Sunday,December,17,20,Afternoon,1,0,1,2,2.176823,41.433033
20170010434,Sant Martí,el Camp de l'Arpa del Clot,València                                          ,Sunday,December,17,21,Afternoon,1,0,1,2,2.186245,41.410057
20170010435,Horta-Guinardó,Horta,Dalt (Besòs)                                      ,Sunday,December,17,21,Afternoon,2,0,2,2,2.159523,41.439753
20170010436,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Litoral                                           ,Monday,December,18,6,Morning,1,0,1,1,2.214181,41.40224
20170010437,Les Corts,la Maternitat i Sant Ramon,Carles III / Sabino Arana                         ,Monday,December,18,8,Morning,1,0,1,2,2.127194,41.385723999999996
20170010438,Eixample,Sant Antoni,Corts Catalanes                                   ,Monday,December,18,8,Morning,2,0,2,1,2.152248,41.377046
20170010439,Eixample,la Sagrada Família,Cartagena / València                              ,Monday,December,18,8,Morning,2,0,2,1,2.18111,41.406037
20170010440,Sants-Montjuïc,la Marina del Prat Vermell,Litoral (Llobregat)                               ,Monday,December,18,8,Morning,1,0,1,2,2.1741580000000003,41.370173
20170010441,Sants-Montjuïc,la Font de la Guatlla,Corts Catalanes                                   ,Monday,December,18,5,Night,1,0,1,2,2.143814,41.370702
20170010442,Eixample,el Fort Pienc,Diagonal / Sardenya                               ,Monday,December,18,9,Morning,1,0,1,2,2.176586,41.400921999999994
20170010443,Eixample,Sant Antoni,Viladomat / Parlament                             ,Monday,December,18,9,Morning,1,0,1,2,2.162075,41.376073999999996
20170010444,Eixample,la Dreta de l'Eixample,Consell de Cent / Roger de Llúria                 ,Monday,December,18,10,Morning,1,0,1,2,2.168621,41.393285
