Id,District Name,Neighborhood Name,Street,Weekday,Month,Day,Hour,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved,Longitude,Latitude
20170000001,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,VIA AUGUSTA                                       ,Sunday,January,1,4,Night,1,0,1,1,2.1513299999999997,41.400771
20170000002,Eixample,el Fort Pienc,GV CORTS CATALANES                                ,Sunday,January,1,2,Night,1,0,1,2,2.1823759999999996,41.39968
20170000003,Horta-Guinardó,el Baix Guinardó,RDA GUINARDÓ                                      ,Sunday,January,1,6,Morning,0,0,0,1,2.166464,41.412769
20170000004,Eixample,la Sagrada Família,BALMES / Rosselló                                 ,Sunday,January,1,7,Morning,1,0,1,2,2.157359,41.39331
20170000005,Sant Martí,el Parc i la Llacuna del Poblenou,PALLARS                                           ,Sunday,January,1,7,Morning,2,0,2,3,2.1932490000000002,41.397908
20170000006,Ciutat Vella,el Raval,TALLERS                                           ,Sunday,January,1,11,Morning,1,0,1,1,2.1651990000000003,41.385158000000004
20170000007,Sants-Montjuïc,la Marina del Prat Vermell,ULLDECONA / Sovelles                              ,Sunday,January,1,13,Morning,0,0,0,1,2.143206,41.352396
20170000008,Eixample,la Dreta de l'Eixample,ARAGÓ / Pau Claris                                ,Sunday,January,1,10,Morning,2,0,2,2,2.1663759999999996,41.393276
20170000009,Sants-Montjuïc,Sants,TARRAGONA / Av Roma                               ,Sunday,January,1,14,Afternoon,1,0,1,2,2.142907,41.380251
20170000010,Sant Andreu,el Congrés i els Indians,FELIP II / Garcilaso                              ,Sunday,January,1,12,Morning,1,0,1,1,2.1839720000000002,41.423153000000006
20170000011,Sant Martí,la Vila Olímpica del Poblenou,AV LITORAL                                        ,Sunday,January,1,15,Afternoon,1,0,1,2,2.201548,41.391096999999995
20170000012,Eixample,el Fort Pienc,GV CORTS CATALANES / Castillejos                  ,Sunday,January,1,10,Morning,2,0,2,2,2.1846240000000003,41.401695000000004
20170000013,Eixample,la Dreta de l'Eixample,ARAGÓ / Pg Gràcia                                 ,Sunday,January,1,15,Afternoon,1,0,1,1,2.164884,41.392165000000006
20170000014,Sants-Montjuïc,Sants,AV ROMA / Tarragona                               ,Sunday,January,1,16,Afternoon,1,0,1,2,2.142907,41.380251
20170000015,Sant Martí,la Verneda i la Pau,CANTÀBRIA                                         ,Sunday,January,1,17,Afternoon,2,0,2,3,2.199774,41.421282
20170000016,Eixample,el Fort Pienc,MARINA                                            ,Sunday,January,1,16,Afternoon,1,0,1,1,2.18148,41.398601
20170000017,Sant Martí,Provençals del Poblenou,CTRA C-31                                         ,Sunday,January,1,19,Afternoon,2,0,2,2,2.203262,41.415467
20170000018,Eixample,l'Antiga Esquerra de l'Eixample,MUNTANER                                          ,Sunday,January,1,19,Afternoon,1,0,1,2,2.151249,41.39265
20170000019,Sant Martí,el Poblenou,ESPRONCEDA                                        ,Sunday,January,1,19,Afternoon,1,0,1,1,2.2068380000000003,41.403515000000006
20170000020,Nou Barris,la Guineueta,PG VALLDAURA / Pg Fabra i Puig                    ,Sunday,January,1,17,Afternoon,0,0,0,2,2.166306,41.43925
20170000021,Sant Martí,el Besòs i el Maresme,CRISTÓBAL DE MOURA / Maresme                      ,Sunday,January,1,12,Morning,0,0,0,4,2.211914,41.415181
20170000022,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,AV DIAGONAL                                       ,Sunday,January,1,22,Night,1,0,1,2,2.150274,41.394436999999996
20170000023,Sants-Montjuïc,la Bordeta,CONSTITUCIÓ                                       ,Tuesday,January,3,21,Afternoon,3,0,3,2,2.135407,41.369828000000005
20170000024,Sants-Montjuïc,el Poble-sec,PL ESPANYA                                        ,Monday,January,2,6,Morning,1,0,1,1,2.15045,41.374497
20170000025,Les Corts,la Maternitat i Sant Ramon,AV DIAGONAL                                       ,Monday,January,2,7,Morning,1,0,1,2,2.106528,41.382695
20170000026,Sants-Montjuïc,Sants,AV MADRID                                         ,Monday,January,2,9,Morning,1,0,1,3,2.130864,41.380458000000004
20170000027,Gràcia,el Camp d'en Grassot i Gràcia Nova,SARDENYA / Trav Gràcia                            ,Monday,January,2,10,Morning,1,0,1,2,2.167786,41.407591
20170000028,Horta-Guinardó,la Font d'en Fargues,MAURICI VILOMARA / Montse Casanovas               ,Monday,January,2,10,Morning,2,0,2,1,2.162445,41.423321
20170000029,Sarrià-Sant Gervasi,el Putxet i el Farró,AV PRÍNC ASTÚRIES / Madrazo                       ,Monday,January,2,13,Morning,1,0,1,2,2.150978,41.401731
20170000030,Eixample,la Nova Esquerra de l'Eixample,VILADOMAT / Consell de Cent                       ,Monday,January,2,14,Afternoon,1,0,1,2,2.153928,41.382222
20170000031,Sants-Montjuïc,la Marina de Port,FOC / Urani                                       ,Monday,January,2,16,Afternoon,1,0,1,2,2.138761,41.355074
20170000032,Sants-Montjuïc,Hostafrancs,CREU COBERTA                                      ,Monday,January,2,17,Afternoon,1,0,1,4,2.145552,41.375106
20170000033,Eixample,la Sagrada Família,ARAGÓ / Castillejos                               ,Monday,January,2,17,Afternoon,1,0,1,2,2.181123,41.404365999999996
20170000034,Nou Barris,la Trinitat Nova,CTRA B-20 (BESÒS)                                 ,Monday,January,2,18,Afternoon,1,0,1,2,2.175769,41.445142
20170000035,Ciutat Vella,el Barri Gòtic,RDA LITORAL(BESÒS)                                ,Monday,January,2,19,Afternoon,1,0,1,4,2.179477,41.377111
20170000036,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,ARIBAU / Via Augusta                              ,Monday,January,2,19,Afternoon,1,0,1,2,2.144837,41.399892
20170000037,Gràcia,la Salut,PL SANLLEHY / Av M Déu Montserra                  ,Monday,January,2,18,Afternoon,2,0,2,2,2.161244,41.413562
20170000038,Sant Martí,el Poblenou,RDA LITORAL(BESÒS)                                ,Monday,January,2,20,Afternoon,1,0,1,2,2.20242,41.392322
20170000039,Horta-Guinardó,la Teixonera,SANTA ROSALIA / Besòs                             ,Monday,January,2,22,Night,2,0,2,2,2.147046,41.421836
20170000040,Eixample,la Dreta de l'Eixample,BAILÈN / Rosselló                                 ,Monday,January,2,22,Night,1,0,1,2,2.166375,41.400128
20170000041,Eixample,el Fort Pienc,GV CORTS CATALANES                                ,Monday,January,2,23,Night,1,0,1,2,2.182434,41.399724
20170000042,Sant Martí,el Besòs i el Maresme,AV LITORAL                                        ,Tuesday,January,3,0,Night,2,0,2,2,2.221113,41.407563
20170000043,Sants-Montjuïc,el Poble-sec,PL DRASSANES / Pg Josep Carner                    ,Tuesday,January,3,5,Night,0,0,0,2,2.176656,41.374429
20170000044,Sarrià-Sant Gervasi,el Putxet i el Farró,RDA GENERAL MITRE / Ganduxer                      ,Tuesday,January,3,7,Morning,1,0,1,2,2.13414,41.39934
20170000045,Horta-Guinardó,Horta,PEDRELL                                           ,Tuesday,January,3,7,Morning,1,0,1,2,2.15919,41.423202
20170000046,Eixample,la Dreta de l'Eixample,ROGER DE LLÚRIA / Aragó                           ,Tuesday,January,3,9,Morning,1,0,1,2,2.167508,41.39414
20170000047,Ciutat Vella,el Barri Gòtic,PG COLOM                                          ,Tuesday,January,3,11,Morning,1,0,1,1,2.179893,41.378912
20170000048,Eixample,Sant Antoni,SEPÚLVEDA / Comte d'Urgell                        ,Tuesday,January,3,11,Morning,2,0,2,2,2.159811,41.381177
20170000049,Sant Martí,el Camp de l'Arpa del Clot,ARAGÓ / Independència                             ,Tuesday,January,3,11,Morning,1,0,1,2,2.18452,41.406912
20170000050,Nou Barris,les Roquetes,VIA FAVÈNCIA / Almansa                            ,Tuesday,January,3,11,Morning,1,0,1,2,2.17413,41.444434
20170000051,Eixample,l'Antiga Esquerra de l'Eixample,ARIBAU / Av Diagonal                              ,Tuesday,January,3,12,Morning,1,0,1,2,2.151307,41.394459000000005
20170000052,Eixample,el Fort Pienc,ARAGÓ / Nàpols                                    ,Tuesday,January,3,12,Morning,1,0,1,3,2.174292,41.399253
20170000053,Eixample,la Nova Esquerra de l'Eixample,AV ROMA / Entença                                 ,Tuesday,January,3,12,Morning,2,0,2,2,2.14719,41.38219
20170000054,Eixample,la Dreta de l'Eixample,GIRONA                                            ,Tuesday,January,3,12,Morning,2,0,2,2,2.172375,41.394020000000005
20170000055,Eixample,l'Antiga Esquerra de l'Eixample,ARIBAU                                            ,Tuesday,January,3,13,Morning,1,0,1,3,2.1612299999999998,41.386818
20170000056,Eixample,la Sagrada Família,SICÍLIA / Mallorca                                ,Tuesday,January,3,15,Afternoon,1,0,1,2,2.1731689999999997,41.401796999999995
20170000057,Sarrià-Sant Gervasi,Sarrià,CTRA SARRIÀ VALLVI                                ,Tuesday,January,3,12,Morning,4,0,4,2,2.1034509999999997,41.408198999999996
20170000058,Eixample,la Dreta de l'Eixample,AV DIAGONAL / Pg Gràcia                           ,Tuesday,January,3,15,Afternoon,2,0,2,3,2.159495,41.396524
20170000059,Sarrià-Sant Gervasi,les Tres Torres,PG BONANOVA / Anglí                               ,Tuesday,January,3,14,Afternoon,1,0,1,2,2.124472,41.401621
20170000060,Horta-Guinardó,Montbau,ARQUITECTURA                                      ,Tuesday,January,3,14,Afternoon,1,0,1,1,2.141952,41.429154
20170000061,Eixample,la Dreta de l'Eixample,ARAGÓ / Pg Sant Joan                              ,Tuesday,January,3,13,Morning,0,0,0,2,2.172037,41.397542
20170000062,Les Corts,les Corts,MARQUÈS SENTMENAT / Nicaragua                     ,Tuesday,January,3,17,Afternoon,1,0,1,2,2.138764,41.385319
20170000063,Sant Martí,el Besòs i el Maresme,AV DIAGONAL / Josep Pla                           ,Tuesday,January,3,14,Afternoon,1,0,1,1,2.214212,41.410092
20170000064,Sant Martí,el Parc i la Llacuna del Poblenou,AV DIAGONAL                                       ,Tuesday,January,3,18,Afternoon,1,0,1,1,2.191441,41.404178
20170000065,Eixample,la Nova Esquerra de l'Eixample,CALÀBRIA / Aragó                                  ,Tuesday,January,3,19,Afternoon,1,0,1,2,2.151664,41.382226
20170000066,Eixample,l'Antiga Esquerra de l'Eixample,GV CORTS CATALANES                                ,Tuesday,January,3,19,Afternoon,1,0,1,2,2.151318,41.376346000000005
20170000067,Sants-Montjuïc,Sants,RBLA BADAL                                        ,Tuesday,January,3,21,Afternoon,1,0,1,2,2.13025,41.375208
20170000068,Eixample,la Nova Esquerra de l'Eixample,COMTE BORRELL / Diputació                         ,Tuesday,January,3,23,Night,3,0,3,5,2.156193,41.382233
20170000069,Ciutat Vella,el Raval,SANT RAFAEL                                       ,Wednesday,January,4,10,Morning,0,0,0,1,2.170289,41.379488
20170000070,Eixample,la Dreta de l'Eixample,PAU CLARIS / Mallorca                             ,Wednesday,January,4,10,Morning,1,0,1,2,2.164111,41.395009
20170000071,Eixample,la Nova Esquerra de l'Eixample,VALÈNCIA                                          ,Wednesday,January,4,8,Morning,1,0,1,2,2.1479209999999997,41.380962
20170000072,Eixample,l'Antiga Esquerra de l'Eixample,MALLORCA / Aribau                                 ,Wednesday,January,4,10,Morning,1,0,1,2,2.157353,41.3899
20170000073,Sant Martí,el Poblenou,PALLARS                                           ,Wednesday,January,4,11,Morning,1,0,1,2,2.1958599999999997,41.399582
20170000074,Sant Martí,Sant Martí de Provençals,HUELVA / Agricultura                              ,Wednesday,January,4,14,Afternoon,1,0,1,1,2.199239,41.419635
20170000075,Eixample,la Nova Esquerra de l'Eixample,CALÀBRIA / València                               ,Wednesday,January,4,14,Afternoon,1,1,2,2,2.150545,41.383078999999995
20170000076,Sants-Montjuïc,la Marina del Prat Vermell,A / Número 3                                      ,Wednesday,January,4,14,Afternoon,1,0,1,1,2.138671,41.332974
20170000077,Sant Andreu,Sant Andreu,VIA FAVÈNCIA                                      ,Wednesday,January,4,12,Morning,3,0,3,4,2.188536,41.446756
20170000078,Eixample,l'Antiga Esquerra de l'Eixample,VILLARROEL / Consell de Cent                      ,Wednesday,January,4,15,Afternoon,2,0,2,2,2.157334,41.384783
20170000079,Eixample,l'Antiga Esquerra de l'Eixample,MUNTANER / València                               ,Wednesday,January,4,14,Afternoon,7,0,7,2,2.157335,41.38818
20170000080,Les Corts,les Corts,AV DIAGONAL / Agustina Saragossa                  ,Wednesday,January,4,13,Morning,2,0,2,2,2.135002,41.390246000000005
20170000081,Sants-Montjuïc,el Poble-sec,PG JOSEP CARNER                                   ,Wednesday,January,4,17,Afternoon,1,0,1,2,2.174028,41.371515
20170000082,Gràcia,la Vila de Gràcia,TORDERA                                           ,Wednesday,January,4,12,Morning,0,0,0,1,2.1604,41.400815
20170000083,Eixample,la Dreta de l'Eixample,PAU CLARIS / GV Corts Catalanes                   ,Wednesday,January,4,13,Morning,0,1,1,2,2.169896,41.390642
20170000084,Les Corts,les Corts,AV DIAGONAL / Numància                            ,Wednesday,January,4,14,Afternoon,1,0,1,2,2.1326080000000003,41.389624
20170000085,Sants-Montjuïc,Sants,GALILEU                                           ,Wednesday,January,4,14,Afternoon,1,0,1,2,2.13373,41.380615
20170000086,Les Corts,les Corts,AV DIAGONAL                                       ,Wednesday,January,4,17,Afternoon,1,0,1,3,2.134273,41.39066
20170000087,Gràcia,Vallcarca i els Penitents,AV VALLCARCA                                      ,Wednesday,January,4,16,Afternoon,1,0,1,1,2.1491599999999997,41.408495
20170000088,Sants-Montjuïc,Sants,SANTS / Rbla Brasil                               ,Wednesday,January,4,21,Afternoon,1,0,1,2,2.130464,41.375494
20170000089,Les Corts,les Corts,AV DIAGONAL / Numància                            ,Wednesday,January,4,15,Afternoon,1,0,1,2,2.1326080000000003,41.389624
20170000090,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,RDA DALT (BESÒS)                                  ,Wednesday,January,4,19,Afternoon,0,0,0,2,2.108666,41.391698
20170000091,Sants-Montjuïc,Sants,SAGUNT                                            ,Wednesday,January,4,19,Afternoon,1,0,1,1,2.134697,41.371361
20170000092,Sant Martí,la Vila Olímpica del Poblenou,RAMON TURRÓ / Pamplona                            ,Wednesday,January,4,15,Afternoon,1,0,1,2,2.1950220000000003,41.393966999999996
20170000093,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,CAMP                                              ,Wednesday,January,4,22,Night,1,0,1,2,2.136344,41.403240000000004
20170000094,Horta-Guinardó,Horta,TAJO / Bda Mercat                                 ,Wednesday,January,4,22,Night,1,0,1,2,2.160658,41.429621999999995
20170000095,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,PG SANT GERVASI                                   ,Thursday,January,5,2,Night,1,0,1,1,2.1375610000000003,41.413813
20170000096,Sant Andreu,Baró de Viver,CTRA B-10 (BESÒS)                                 ,Thursday,January,5,4,Night,1,0,1,1,2.205163,41.444756
20170000097,Sant Martí,la Verneda i la Pau,CANTÀBRIA / Menorca                               ,Thursday,January,5,6,Morning,2,0,2,2,2.199257,41.421357
20170000098,Eixample,la Dreta de l'Eixample,CONSELL DE CENT / Pau Claris                      ,Thursday,January,5,7,Morning,1,0,1,3,2.167507,41.39244
20170000099,Horta-Guinardó,el Guinardó,RBLA VOLART                                       ,Thursday,January,5,5,Night,0,0,0,3,2.174778,41.417544
20170000100,Sarrià-Sant Gervasi,el Putxet i el Farró,LINCOLN / Guillem Tell                            ,Thursday,January,5,7,Morning,1,0,1,2,2.147749,41.401884
20170000101,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,MARIÀ CUBÍ                                        ,Thursday,January,5,8,Morning,0,0,0,1,2.146705,41.396584000000004
20170000102,Eixample,la Dreta de l'Eixample,PAU CLARIS / Diputació                            ,Thursday,January,5,8,Morning,1,0,1,2,2.1686360000000002,41.39157
20170000103,Les Corts,les Corts,TRAV CORTS / Entença                              ,Thursday,January,5,8,Morning,1,0,1,2,2.138895,41.389044
20170000104,Nou Barris,Vilapicina i la Torre Llobeta,ESCÒCIA / Antoni Costa                            ,Thursday,January,5,7,Morning,1,0,2,1,2.181706,41.428661
20170000105,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,AV DIAGONAL                                       ,Thursday,January,5,9,Morning,1,0,1,1,2.1388,41.391703
20170000106,Sants-Montjuïc,la Marina de Port,PG ZONA FRANCA                                    ,Thursday,January,5,9,Morning,2,0,2,3,2.1398919999999997,41.358509999999995
20170000107,Eixample,la Dreta de l'Eixample,AV DIAGONAL / Pau Claris                          ,Thursday,January,5,10,Morning,1,0,1,2,2.161465,41.397016
20170000108,Horta-Guinardó,el Baix Guinardó,LEPANT                                            ,Thursday,January,5,10,Morning,1,0,1,3,2.169498,41.410138
20170000109,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,PL FRANCESC MACIÀ                                 ,Thursday,January,5,11,Morning,1,0,1,2,2.144741,41.392216999999995
20170000110,Eixample,la Dreta de l'Eixample,ROSSELLÓ / Pg Sant Joan                           ,Thursday,January,5,12,Morning,1,0,1,1,2.1675020000000003,41.400966
20170000111,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,VIA AUGUSTA / Tavern                              ,Thursday,January,5,9,Morning,1,0,1,2,2.14393,41.399321
20170000112,Sarrià-Sant Gervasi,les Tres Torres,GANDUXER / Alacant                                ,Thursday,January,5,14,Afternoon,2,0,2,2,2.1333130000000002,41.400403000000004
20170000113,Gràcia,la Vila de Gràcia,SANT LLUÍS / Torrent Vidalet                      ,Thursday,January,5,13,Morning,1,0,1,2,2.15883,41.404508
20170000114,Eixample,la Dreta de l'Eixample,ARAGÓ / Pg Gràcia                                 ,Thursday,January,5,15,Afternoon,1,0,1,2,2.164884,41.392165000000006
20170000115,Sant Andreu,Baró de Viver,NUS TRINITAT                                      ,Thursday,January,5,12,Morning,1,0,1,2,2.1935599999999997,41.449284000000006
20170000116,Horta-Guinardó,la Clota,RDA DALT (BESÒS)                                  ,Thursday,January,5,14,Afternoon,2,0,2,3,2.144012,41.428075
20170000117,Sant Martí,Sant Martí de Provençals,SELVA DE MAR / Rbla Guipúscoa                     ,Thursday,January,5,15,Afternoon,1,0,1,2,2.1981439999999997,41.417153000000006
20170000118,Nou Barris,Vilapicina i la Torre Llobeta,RAMON ALBÓ                                        ,Thursday,January,5,16,Afternoon,0,1,1,3,2.177028,41.427383
20170000119,Eixample,la Nova Esquerra de l'Eixample,AV ROMA                                           ,Thursday,January,5,16,Afternoon,1,0,1,2,2.146261,41.382059000000005
20170000120,Horta-Guinardó,el Guinardó,RDA GUINARDÓ                                      ,Thursday,January,5,15,Afternoon,1,0,1,2,2.172604,41.415492
20170000121,Sant Martí,el Parc i la Llacuna del Poblenou,MARINA / Pallars                                  ,Thursday,January,5,18,Afternoon,1,0,1,2,2.187949,41.393957
20170000122,Sant Martí,el Poblenou,RBLA PRIM / GV Corts Catalanes                    ,Thursday,January,5,19,Afternoon,0,0,0,1,2.208398,41.419569
20170000123,Sant Martí,la Verneda i la Pau,SANTANDER                                         ,Thursday,January,5,17,Afternoon,2,0,2,2,2.20173,41.427479999999996
20170000124,Sants-Montjuïc,la Marina del Prat Vermell,A                                                 ,Thursday,January,5,22,Night,0,0,0,1,2.1464630000000002,41.346533
20170000125,Nou Barris,Verdun,RDA DALT (BESÒS)                                  ,Thursday,January,5,22,Night,0,0,0,1,2.161837,41.440123
20170000126,Eixample,el Fort Pienc,ROSSELLÓ / Sicília                                ,Thursday,January,5,23,Night,1,0,1,2,2.1709169999999998,41.403509
20170000127,Sant Martí,el Parc i la Llacuna del Poblenou,AV DIAGONAL / Ciutat de Granada                   ,Thursday,January,5,23,Night,2,0,2,2,2.1903669999999997,41.404181
20170000128,Nou Barris,Porta,PG VALLDAURA                                      ,Thursday,January,5,18,Afternoon,1,0,1,1,2.183242,41.439612
20170000129,Eixample,l'Antiga Esquerra de l'Eixample,CONSELL DE CENT / Aribau                          ,Friday,January,6,0,Night,1,0,1,2,2.160726,41.387335
20170000130,Les Corts,les Corts,CARAVEL·LA LA NIÑA / Av Sarrià                    ,Friday,January,6,6,Morning,1,0,1,2,2.131757,41.392313
20170000131,Sants-Montjuïc,Hostafrancs,PL ESPANYA                                        ,Friday,January,6,10,Morning,1,0,1,2,2.148113,41.374967
20170000132,Gràcia,el Camp d'en Grassot i Gràcia Nova,PG SANT JOAN / Rosselló                           ,Friday,January,6,12,Morning,1,0,1,1,2.1675020000000003,41.400966
20170000133,Eixample,la Dreta de l'Eixample,PG GRÀCIA / GV Corts Catalanes                    ,Friday,January,6,12,Morning,1,0,1,2,2.1682740000000003,41.389418
20170000134,Eixample,Sant Antoni,GV CORTS CATALANES / Calàbria                     ,Friday,January,6,15,Afternoon,1,0,1,2,2.155159,41.379583000000004
20170000135,Sant Martí,la Vila Olímpica del Poblenou,MARINA / Llull                                    ,Friday,January,6,20,Afternoon,0,0,0,3,2.190224,41.392272999999996
20170000136,Eixample,la Sagrada Família,RBLA CATALUNYA / Provença                         ,Friday,January,6,20,Afternoon,2,0,2,2,2.15998,41.393601000000004
20170000137,Sant Martí,el Clot,ARAGÓ                                             ,Friday,January,6,22,Night,1,0,1,2,2.1884,41.410069
20170000138,Ciutat Vella,la Barceloneta,SALVADOR ESPRIU                                   ,Friday,January,6,23,Night,1,0,1,2,2.19509,41.387723
20170000139,Sant Martí,la Vila Olímpica del Poblenou,AV LITORAL                                        ,Friday,January,6,23,Night,2,0,2,7,2.200096,41.389776
20170000140,Nou Barris,el Turó de la Peira,PG FABRA I PUIG                                   ,Saturday,January,7,0,Night,3,0,3,2,2.1684069999999998,41.430591
20170000141,Les Corts,la Maternitat i Sant Ramon,AV DIAGONAL                                       ,Saturday,January,7,1,Night,2,1,3,1,2.126554,41.387667
20170000142,Eixample,la Dreta de l'Eixample,PL URQUINAONA / Roger de Llúria                   ,Saturday,January,7,1,Night,0,1,1,1,2.1734080000000002,41.389688
20170000143,Eixample,la Dreta de l'Eixample,PL TETUAN                                         ,Saturday,January,7,4,Night,1,0,1,2,2.174613,41.395194000000004
20170000144,Horta-Guinardó,Sant Genís dels Agudells,CTRA SANT CUGAT                                   ,Saturday,January,7,4,Night,0,0,0,1,2.1329290000000003,41.431729
20170000145,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,AV TIBIDABO / Isaac Newton                        ,Saturday,January,7,8,Morning,1,0,1,2,2.133931,41.414471999999996
20170000146,Sant Andreu,la Trinitat Vella,RDA DALT(LLOBREGAT                                ,Saturday,January,7,8,Morning,1,0,1,2,2.1934259999999997,41.447055
20170000147,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,TRAV GRÀCIA / Aribau                              ,Saturday,January,7,9,Morning,1,2,3,13,2.149334,41.395939
20170000148,Les Corts,les Corts,TRAV CORTS / Constança                            ,Saturday,January,7,10,Morning,4,0,4,2,2.136291,41.387507
20170000149,Sarrià-Sant Gervasi,les Tres Torres,G.V. CARLES III                                   ,Saturday,January,7,9,Morning,2,0,2,2,2.1286650000000003,41.391822
20170000150,Gràcia,la Vila de Gràcia,TRAV DALT / Rabassa                               ,Saturday,January,7,12,Morning,1,0,1,2,2.1557020000000002,41.409958
20170000151,Eixample,la Nova Esquerra de l'Eixample,ARAGÓ / Llança                                    ,Saturday,January,7,13,Morning,0,1,1,2,2.147145,41.37883
20170000152,Eixample,la Sagrada Família,LEPANT / València                                 ,Saturday,January,7,13,Morning,1,0,1,3,2.177825,41.403574
20170000153,Les Corts,les Corts,COMTES BELL-LLOC                                  ,Saturday,January,7,14,Afternoon,1,0,1,2,2.1364919999999996,41.381902000000004
20170000154,Sant Martí,la Verneda i la Pau,RBLA GUIPÚSCOA                                    ,Saturday,January,7,13,Morning,1,0,1,1,2.202182,41.419901
20170000155,Ciutat Vella,la Barceloneta,GINEBRA / Carbonell                               ,Saturday,January,7,14,Afternoon,1,0,1,2,2.18765,41.381445
20170000156,Eixample,la Dreta de l'Eixample,PL FRANCESC MACIÀ / Comte d'Urgell                ,Saturday,January,7,17,Afternoon,1,0,1,1,2.1448869999999998,41.392454
20170000157,Eixample,la Dreta de l'Eixample,GV CORTS CATALANES / Pau Claris                   ,Saturday,January,7,17,Afternoon,1,0,1,2,2.169896,41.390642
20170000158,Eixample,el Fort Pienc,MARINA                                            ,Saturday,January,7,18,Afternoon,1,0,1,2,2.185364,41.396303
20170000159,Sant Andreu,Sant Andreu,FERNANDO PESSOA                                   ,Saturday,January,7,18,Afternoon,2,0,2,3,2.192724,41.444505
20170000160,Les Corts,les Corts,AV DIAGONAL                                       ,Saturday,January,7,19,Afternoon,2,0,2,2,2.1323779999999997,41.389152
20170000161,Sant Martí,Provençals del Poblenou,PERÚ / Rbla Poblenou                              ,Saturday,January,7,21,Afternoon,1,0,1,2,2.193796,41.406675
20170000162,Sant Martí,Provençals del Poblenou,AV DIAGONAL / Bilbao                              ,Saturday,January,7,21,Afternoon,2,0,2,2,2.198352,41.406690000000005
20170000163,Nou Barris,Vilapicina i la Torre Llobeta,PG FABRA I PUIG / Vèlia                           ,Saturday,January,7,23,Night,1,0,1,2,2.18082,41.430217999999996
20170000164,Sants-Montjuïc,la Marina del Prat Vermell,NÚMERO 3                                          ,Sunday,January,8,6,Morning,2,0,2,2,2.133421,41.334990999999995
20170000165,Les Corts,les Corts,AV DIAGONAL                                       ,Sunday,January,8,5,Night,4,0,4,2,2.132709,41.390263
20170000166,Eixample,la Dreta de l'Eixample,AV DIAGONAL / Roger de Llúria                     ,Sunday,January,8,6,Morning,1,1,2,2,2.1631110000000002,41.397455
20170000167,Nou Barris,Torre Baró,AV M DÉU MONTSERRA                                ,Sunday,January,8,5,Night,0,0,0,7,2.17468,41.422158
20170000168,Eixample,el Fort Pienc,GV CORTS CATALANES / Lepant                       ,Sunday,January,8,9,Morning,4,0,4,3,2.182427,41.40007
20170000169,Sants-Montjuïc,la Font de la Guatlla,GV CORTS CATALANES                                ,Sunday,January,8,12,Morning,2,0,2,2,2.140873,41.369155
20170000170,Sant Andreu,Sant Andreu,SEGRE                                             ,Sunday,January,8,12,Morning,2,0,2,1,2.194034,41.43164
20170000171,Eixample,el Fort Pienc,GV CORTS CATALANES / Nàpols                       ,Sunday,January,8,15,Afternoon,1,0,1,1,2.17782,41.396589
20170000172,Horta-Guinardó,Sant Genís dels Agudells,RDA DALT(LLOBREGAT                                ,Sunday,January,8,16,Afternoon,1,0,1,2,2.14635,41.434069
20170000173,Eixample,Sant Antoni,MANSO                                             ,Sunday,January,8,16,Afternoon,0,0,0,3,2.159072,41.375665999999995
20170000174,Eixample,la Sagrada Família,VALÈNCIA / Padilla                                ,Sunday,January,8,20,Afternoon,1,0,1,2,2.17889,41.404391
20170000175,Sants-Montjuïc,el Poble-sec,PG EXPOSICIÓ / Poeta Cabanyes                     ,Sunday,January,8,19,Afternoon,2,0,2,2,2.164095,41.371109999999994
20170000176,Eixample,el Fort Pienc,MARINA / Diputació                                ,Sunday,January,8,19,Afternoon,3,0,3,2,2.179953,41.400065000000005
20170000177,Eixample,la Dreta de l'Eixample,VALÈNCIA / Pg Sant Joan                           ,Sunday,January,8,21,Afternoon,1,0,1,2,2.170897,41.398395
20170000178,Sant Andreu,el Bon Pastor,CIUTAT D'ASUNCIÓN                                 ,Sunday,January,8,20,Afternoon,0,0,0,1,2.200956,41.437125
20170000179,Les Corts,Pedralbes,PG MANUEL GIRONA / Benet Mateu                    ,Sunday,January,8,21,Afternoon,1,0,1,2,2.12708,41.391821
20170000180,Gràcia,el Camp d'en Grassot i Gràcia Nova,INDÚSTRIA / Pg Sant Joan                          ,Monday,January,9,1,Night,1,0,1,2,2.165276,41.402648
20170000181,Eixample,la Dreta de l'Eixample,PG SANT JOAN / Av Diagonal                        ,Monday,January,9,8,Morning,1,0,1,2,2.169936,41.399124
20170000182,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,SELVA DE MAR / Pallars                            ,Monday,January,9,9,Morning,1,0,1,2,2.2085310000000002,41.409255
